Model,Precision,Recall,F1 Score,ROC-AUC,False Negatives
Logistic Regression,0.8266666666666667,0.6326530612244898,0.7167630057803468,0.8162122227900727,36
Decision Tree,0.7525773195876289,0.7448979591836735,0.7487179487179487,0.8722379497662881,25
Tuned_Decision Tree,0.8941176470588236,0.7755102040816326,0.8306010928961749,0.8876759658562355,22
Random Forest Baseline,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9081193007591333,18
SMOTE Random Forest,0.8350515463917526,0.826530612244898,0.8307692307692308,0.913124619572083,17
Weighted XGBoost,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.9182706249353991,16
Logistic Regression,0.04231311706629055,0.9183673469387755,0.08089887640449438,0.9412725170259437,8
